"","species","body_mass_g","culmen_length_mm"
"1","Adelie Penguin (Pygoscelis adeliae)",3750,39.1
"2","Adelie Penguin (Pygoscelis adeliae)",3800,39.5
"3","Adelie Penguin (Pygoscelis adeliae)",3250,40.3
"4","Adelie Penguin (Pygoscelis adeliae)",3450,36.7
"5","Adelie Penguin (Pygoscelis adeliae)",3650,39.3
"6","Adelie Penguin (Pygoscelis adeliae)",3625,38.9
"7","Adelie Penguin (Pygoscelis adeliae)",4675,39.2
"8","Adelie Penguin (Pygoscelis adeliae)",3475,34.1
"9","Adelie Penguin (Pygoscelis adeliae)",4250,42
"10","Adelie Penguin (Pygoscelis adeliae)",3300,37.8
"11","Adelie Penguin (Pygoscelis adeliae)",3700,37.8
"12","Adelie Penguin (Pygoscelis adeliae)",3200,41.1
"13","Adelie Penguin (Pygoscelis adeliae)",3800,38.6
"14","Adelie Penguin (Pygoscelis adeliae)",4400,34.6
"15","Adelie Penguin (Pygoscelis adeliae)",3700,36.6
"16","Adelie Penguin (Pygoscelis adeliae)",3450,38.7
"17","Adelie Penguin (Pygoscelis adeliae)",4500,42.5
"18","Adelie Penguin (Pygoscelis adeliae)",3325,34.4
"19","Adelie Penguin (Pygoscelis adeliae)",4200,46
"20","Adelie Penguin (Pygoscelis adeliae)",3400,37.8
"21","Adelie Penguin (Pygoscelis adeliae)",3600,37.7
"22","Adelie Penguin (Pygoscelis adeliae)",3800,35.9
"23","Adelie Penguin (Pygoscelis adeliae)",3950,38.2
"24","Adelie Penguin (Pygoscelis adeliae)",3800,38.8
"25","Adelie Penguin (Pygoscelis adeliae)",3800,35.3
"26","Adelie Penguin (Pygoscelis adeliae)",3550,40.6
"27","Adelie Penguin (Pygoscelis adeliae)",3200,40.5
"28","Adelie Penguin (Pygoscelis adeliae)",3150,37.9
"29","Adelie Penguin (Pygoscelis adeliae)",3950,40.5
"30","Adelie Penguin (Pygoscelis adeliae)",3250,39.5
"31","Adelie Penguin (Pygoscelis adeliae)",3900,37.2
"32","Adelie Penguin (Pygoscelis adeliae)",3300,39.5
"33","Adelie Penguin (Pygoscelis adeliae)",3900,40.9
"34","Adelie Penguin (Pygoscelis adeliae)",3325,36.4
"35","Adelie Penguin (Pygoscelis adeliae)",4150,39.2
"36","Adelie Penguin (Pygoscelis adeliae)",3950,38.8
"37","Adelie Penguin (Pygoscelis adeliae)",3550,42.2
"38","Adelie Penguin (Pygoscelis adeliae)",3300,37.6
"39","Adelie Penguin (Pygoscelis adeliae)",4650,39.8
"40","Adelie Penguin (Pygoscelis adeliae)",3150,36.5
"41","Adelie Penguin (Pygoscelis adeliae)",3900,40.8
"42","Adelie Penguin (Pygoscelis adeliae)",3100,36
"43","Adelie Penguin (Pygoscelis adeliae)",4400,44.1
"44","Adelie Penguin (Pygoscelis adeliae)",3000,37
"45","Adelie Penguin (Pygoscelis adeliae)",4600,39.6
"46","Adelie Penguin (Pygoscelis adeliae)",3425,41.1
"47","Adelie Penguin (Pygoscelis adeliae)",2975,37.5
"48","Adelie Penguin (Pygoscelis adeliae)",3450,36
"49","Adelie Penguin (Pygoscelis adeliae)",4150,42.3
"50","Adelie Penguin (Pygoscelis adeliae)",3500,39.6
"51","Adelie Penguin (Pygoscelis adeliae)",4300,40.1
"52","Adelie Penguin (Pygoscelis adeliae)",3450,35
"53","Adelie Penguin (Pygoscelis adeliae)",4050,42
"54","Adelie Penguin (Pygoscelis adeliae)",2900,34.5
"55","Adelie Penguin (Pygoscelis adeliae)",3700,41.4
"56","Adelie Penguin (Pygoscelis adeliae)",3550,39
"57","Adelie Penguin (Pygoscelis adeliae)",3800,40.6
"58","Adelie Penguin (Pygoscelis adeliae)",2850,36.5
